module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
RMB_AID,rmbaid-document-project,Document Project,DP,Analyze an existing project to produce useful documentation.,,anytime,,,false,project-knowledge,*
RMB_AID,rmbaid-generate-project-context,Generate Project Context,GPC,Scan existing codebase to generate a lean LLM-optimized project-context.md. Essential for brownfield projects.,,anytime,,,false,output_folder,project context
RMB_AID,rmbaid-quick-dev,Quick Dev,QQ,Unified intent-in code-out workflow: clarify plan implement review and present.,,anytime,,,false,implementation_artifacts,spec and project implementation
RMB_AID,rmbaid-correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,anytime,,,false,planning_artifacts,change proposal
RMB_AID,rmbaid-agent-tech-writer,Write Document,WD,"Describe in detail what you want, and the agent will follow documentation best practices. Multi-turn conversation with subprocess for research/review.",write,,anytime,,,false,project-knowledge,document
RMB_AID,rmbaid-agent-tech-writer,Update Standards,US,Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.,update-standards,,anytime,,,false,_rmbaid/_memory/tech-writer-sidecar,standards
RMB_AID,rmbaid-agent-tech-writer,Mermaid Generate,MG,Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.,mermaid,,anytime,,,false,planning_artifacts,mermaid diagram
RMB_AID,rmbaid-agent-tech-writer,Validate Document,VD,Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.,validate,[path],anytime,,,false,planning_artifacts,validation report
RMB_AID,rmbaid-agent-tech-writer,Explain Concept,EC,Create clear technical explanations with examples and diagrams for complex concepts.,explain,[topic],anytime,,,false,project_knowledge,explanation
RMB_AID,rmbaid-brainstorming,Brainstorm Project,BP,Expert guided facilitation through a single or multiple techniques.,,1-analysis,,,false,planning_artifacts,brainstorming session
RMB_AID,rmbaid-market-research,Market Research,MR,"Market analysis competitive landscape customer needs and trends.",,1-analysis,,,false,"planning_artifacts|project-knowledge",research documents
RMB_AID,rmbaid-domain-research,Domain Research,DR,Industry domain deep dive subject matter expertise and terminology.,,1-analysis,,,false,"planning_artifacts|project_knowledge",research documents
RMB_AID,rmbaid-technical-research,Technical Research,TR,Technical feasibility architecture options and implementation approaches.,,1-analysis,,,false,"planning_artifacts|project_knowledge",research documents
RMB_AID,rmbaid-product-brief,Create Brief,CB,An expert guided experience to nail down your product idea in a brief. a gentler approach than PRFAQ when you are already sure of your concept and nothing will sway you.,,-A,1-analysis,,,false,planning_artifacts,product brief
RMB_AID,rmbaid-prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. alternative to product brief.,,-H,1-analysis,,,false,planning_artifacts,prfaq document
RMB_AID,rmbaid-create-prd,Create PRD,CP,Expert led facilitation to produce your Product Requirements Document.,,2-planning,,,true,planning_artifacts,prd
RMB_AID,rmbaid-validate-prd,Validate PRD,VP,,,[path],2-planning,rmbaid-create-prd,,false,planning_artifacts,prd validation report
RMB_AID,rmbaid-edit-prd,Edit PRD,EP,,,[path],2-planning,rmbaid-validate-prd,,false,planning_artifacts,updated prd
RMB_AID,rmbaid-create-ux-design,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,2-planning,rmbaid-create-prd,,false,planning_artifacts,ux design
RMB_AID,rmbaid-create-architecture,Create Architecture,CA,Guided workflow to document technical decisions.,,3-solutioning,,,true,planning_artifacts,architecture
RMB_AID,rmbaid-create-epics-and-stories,Create Epics and Stories,CE,,,3-solutioning,rmbaid-create-architecture,,true,planning_artifacts,epics and stories
RMB_AID,rmbaid-check-implementation-readiness,Check Implementation Readiness,IR,Ensure PRD UX Architecture and Epics Stories are aligned.,,3-solutioning,rmbaid-create-epics-and-stories,,true,planning_artifacts,readiness report
RMB_AID,rmbaid-sprint-planning,Sprint Planning,SP,Kicks off implementation by producing a plan the implementation agents will follow in sequence for every story.,,4-implementation,,,true,implementation_artifacts,sprint status
RMB_AID,rmbaid-sprint-status,Sprint Status,SS,Anytime: Summarize sprint status and route to next workflow.,,4-implementation,rmbaid-sprint-planning,,false,,
RMB_AID,rmbaid-create-story,Create Story,CS,"Story cycle start: Prepare first found story in the sprint plan that is next or a specific epic/story designation.",create,,4-implementation,rmbaid-sprint-planning,rmbaid-create-story:validate,true,implementation_artifacts,story
RMB_AID,rmbaid-create-story,Validate Story,VS,Validates story readiness and completeness before development work begins.,validate,,4-implementation,rmbaid-create-story:create,rmbaid-dev-story,false,implementation_artifacts,story validation report
RMB_AID,rmbaid-dev-story,Dev Story,DS,Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed.,,4-implementation,rmbaid-create-story:validate,,true,,
RMB_AID,rmbaid-code-review,Code Review,CR,Story cycle: If issues back to DS if approved then next CS or ER if epic complete.,,4-implementation,rmbaid-dev-story,,false,,
RMB_AID,rmbaid-checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,4-implementation,,,false,,
RMB_AID,rmbaid-qa-generate-e2e-tests,QA Automation Test,QA,Generate automated API and E2E tests for implemented code. NOT for code review or story validation — use CR for that.,,4-implementation,rmbaid-dev-story,,false,implementation_artifacts,test suite
RMB_AID,rmbaid-retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,4-implementation,rmbaid-code-review,,false,implementation_artifacts,retrospective
